이름,8시간 미만,8시간,9시간,10시간,11시간 이상,야근 없음,야근 1일 미만,야근 1일,야근 2일,야근 3일 이상,주말 근무 없음,주말 근무 1일 미만,주말 근무 1일,주말 근무 2일,주말 근무 3일 이상,휴가 0-7일,휴가 8-14일,휴가 15-21일,휴가 22-29일,휴가 30일 이상,업무일정 조정 자유,업무일정 조정 상황따라,업무일정 조정 눈치,업무일정 조정 제한적,업무일정 조정 어려움,원격 자유,원격 별도 신청,원격 눈치,원격 제한적,원격 어려움
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)에스비아이저축은행,15,21,47,15,0,23,33,14,19,9,95,0,4,0,0,20,60,20,0,0,14,28,9,23,23,0,33,19,9,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모아저축은행(주),5,0,33,33,27,0,5,11,22,61,50,5,27,0,16,83,5,5,0,5,0,11,16,27,44,0,0,5,0,94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우체국금융개발원(재),5,84,10,0,0,61,16,11,11,0,78,10,10,0,0,21,26,52,0,0,10,42,15,10,21,0,0,5,47,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
롯데손해보험(주),0,29,37,25,8,8,12,25,25,29,56,17,13,8,4,8,37,54,0,0,8,45,8,16,20,4,12,20,29,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산와대부(주),0,0,40,30,30,10,10,0,0,80,80,0,0,20,0,0,60,40,0,0,10,0,0,10,80,0,10,10,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
악사손해보험(주),11,58,11,11,5,17,35,23,11,11,70,11,5,5,5,17,17,52,11,0,17,35,5,29,11,17,11,11,23,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한화손해사정(주),0,35,25,17,21,32,7,14,21,25,75,10,3,3,7,10,39,25,21,3,21,35,17,17,7,7,35,10,17,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥국생명보험(주),0,64,35,0,0,14,28,35,14,7,85,0,0,7,7,21,50,28,0,0,14,14,57,14,0,0,35,14,21,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이비국민카드(주),5,52,35,5,0,47,17,11,17,5,82,0,5,5,5,11,35,47,5,0,5,47,11,17,17,5,17,17,23,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성화재애니카손해사정(주),18,50,25,0,6,43,43,0,0,12,93,0,0,6,0,37,43,18,0,0,18,37,12,0,31,0,12,12,43,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신영증권(주),7,15,46,15,15,38,15,0,15,30,84,0,15,0,0,15,69,15,0,0,15,23,15,30,15,0,7,15,30,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공무원연금공단,10,30,40,13,6,6,16,10,30,36,36,23,23,3,13,16,60,23,0,0,20,43,20,13,3,3,20,23,23,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
로카모빌리티(주),5,35,11,29,17,17,5,11,23,41,29,29,23,5,11,23,58,11,5,0,5,41,23,5,23,0,5,23,35,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유안타증권(주),6,60,20,6,6,53,6,0,33,6,73,6,6,6,6,53,20,20,6,0,13,26,46,0,13,0,20,13,40,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에이원손해사정(주),0,13,26,39,21,4,4,4,18,68,30,13,8,21,26,34,52,13,0,0,8,21,17,17,34,0,8,0,26,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구은행(주),0,41,33,25,0,33,16,25,16,8,66,16,8,8,0,25,66,8,0,0,16,58,8,8,8,0,0,8,41,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하나캐피탈(주),0,14,42,14,28,21,7,14,14,42,71,0,7,0,21,50,35,14,0,0,28,7,14,28,21,7,21,14,14,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이비증권(주),14,33,33,9,9,28,28,14,14,14,61,19,4,4,9,33,57,4,0,4,9,33,28,9,19,9,9,14,23,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)다스카손해사정화재해상,0,28,35,21,14,14,7,14,21,42,57,28,7,7,0,35,50,14,0,0,28,14,28,7,21,0,7,7,0,85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경남은행(주),0,33,16,33,16,0,33,0,33,33,50,16,0,33,0,50,33,0,16,0,0,16,16,50,16,0,16,0,33,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미래에셋생명보험(주),0,37,37,12,12,37,12,12,37,0,62,12,0,25,0,0,50,25,12,12,37,50,0,12,0,25,25,0,12,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산은행(주),20,40,0,0,40,20,0,40,0,40,20,20,40,20,0,40,60,0,0,0,20,20,20,40,0,20,40,0,0,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이비캐피탈(주),6,53,33,6,0,20,6,33,6,33,80,0,6,13,0,26,46,26,0,0,0,33,20,20,26,0,6,6,26,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥국화재해상보험(주),0,40,40,10,10,10,10,20,40,20,80,10,10,0,0,10,30,60,0,0,30,30,20,0,20,10,20,10,20,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수산업협동조합중앙회,6,66,20,6,0,33,20,13,20,13,80,0,6,6,6,26,33,40,0,0,0,33,26,6,33,0,6,6,26,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인카금융서비스(주),0,31,62,0,6,37,18,12,12,18,62,6,25,0,6,18,62,18,0,0,25,37,18,12,6,18,0,12,18,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미래에셋증권(주),0,36,36,18,9,27,18,27,9,18,45,0,9,27,18,9,63,27,0,0,18,45,0,18,18,0,18,18,9,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)카카오페이,0,41,20,34,3,13,27,6,34,17,41,20,13,20,3,13,51,31,3,0,20,37,13,13,13,24,10,27,20,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
롯데캐피탈(주),12,25,50,12,0,37,25,18,18,0,81,12,6,0,0,18,31,50,0,0,12,31,25,6,25,0,0,18,18,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한화투자증권(주),10,40,20,20,10,33,22,0,22,22,60,10,10,20,0,30,60,10,0,0,0,30,30,10,30,0,0,20,40,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웰컴크레디라인대부(주),0,9,9,72,9,0,18,18,36,27,72,0,18,0,9,72,27,0,0,0,0,18,18,18,45,0,9,0,27,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국무역보험공사,42,57,0,0,0,28,28,0,28,14,57,14,14,0,14,14,57,28,0,0,42,14,0,28,14,42,0,0,0,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주은행(주),14,28,14,28,14,42,0,0,42,14,71,14,0,0,14,71,28,0,0,0,14,28,14,14,28,0,0,0,14,85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)에즈금융서비스,38,19,9,4,28,19,19,9,0,52,47,0,9,0,42,61,38,0,0,0,33,14,23,14,14,14,19,0,19,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신한생명보험(주),28,28,14,14,14,28,28,0,14,28,57,14,14,14,0,42,57,0,0,0,14,28,42,0,14,0,0,14,28,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)우리카드,26,33,26,6,6,26,26,6,20,20,93,6,0,0,0,57,14,21,7,0,40,20,6,6,26,13,13,6,6,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)카카오뱅크,10,63,20,6,0,36,20,20,10,13,76,10,6,3,3,16,36,46,0,0,26,40,16,10,6,20,16,13,23,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)한국투자저축은행,0,25,25,33,16,25,8,16,25,25,91,8,0,0,0,83,16,0,0,0,8,25,8,16,41,0,8,16,16,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고려신용정보(주),3,23,46,26,0,19,7,19,19,34,65,11,7,11,3,15,46,38,0,0,7,38,7,11,34,3,0,7,7,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엔에이치농협캐피탈(주),13,34,43,4,4,43,13,13,17,13,82,4,4,4,4,39,30,21,4,4,13,26,30,17,13,13,8,17,26,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이디비생명보험(주),15,46,38,0,0,38,23,23,15,0,69,15,7,7,0,23,46,30,0,0,30,38,7,15,7,15,15,0,30,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신용협동조합중앙회,0,45,45,9,0,36,18,18,9,18,54,27,18,0,0,36,54,9,0,0,9,36,27,0,27,0,9,0,27,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)케이지제로인,6,68,18,6,0,31,37,18,12,0,68,12,6,12,0,18,62,18,0,0,18,43,18,0,18,25,25,0,12,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동양생명보험(주),18,27,45,0,9,18,9,27,9,36,45,36,0,9,9,36,45,18,0,0,18,36,9,18,18,9,0,18,36,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제이비우리캐피탈(주),0,50,25,25,0,25,25,25,12,12,50,0,12,25,12,25,25,37,12,0,0,25,25,37,12,12,12,0,37,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)조이크레디트대부금융,0,57,14,28,0,42,28,0,14,14,71,0,0,14,14,57,42,0,0,0,14,14,42,0,28,0,14,0,14,71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피플라이프(주),0,71,14,10,3,64,14,7,3,10,46,3,21,10,17,28,28,39,3,0,25,32,14,21,7,3,7,0,10,78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예금보험공사,0,100,0,0,0,0,80,20,0,0,100,0,0,0,0,0,0,80,20,0,0,100,0,0,0,0,20,20,60,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제이티친애저축은행(주),6,43,25,25,0,12,37,6,12,31,62,18,6,12,0,12,25,62,0,0,6,56,0,12,25,0,18,0,31,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농협생명보험(주),16,41,33,8,0,41,8,25,16,8,50,16,25,0,8,33,33,25,0,8,16,0,25,33,25,8,16,16,8,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아프로파이낸셜대부(주),0,12,50,12,25,12,12,0,50,25,37,25,0,25,12,25,37,37,0,0,12,12,37,0,37,0,12,12,12,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아주캐피탈(주),0,50,37,12,0,0,25,25,37,12,75,0,0,25,0,0,62,37,0,0,0,25,62,0,12,0,12,12,37,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에이비엘생명보험(주),22,22,33,22,0,33,11,0,44,11,66,22,0,0,11,33,22,44,0,0,11,77,11,0,0,0,55,0,33,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유진투자증권(주),0,36,36,27,0,27,27,18,9,18,90,9,0,0,0,45,54,0,0,0,0,36,54,9,0,0,27,9,27,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)에이플러스에셋어드바이저,9,18,45,27,0,9,27,36,9,18,72,0,9,9,9,27,36,36,0,0,0,18,36,18,27,0,9,9,9,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비엠더블유파이낸셜서비스코리아(주),0,71,28,0,0,28,42,28,0,0,85,0,0,0,14,28,14,57,0,0,14,28,42,14,0,0,71,14,0,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이비생명보험(주),12,12,50,12,12,37,0,12,25,25,50,0,12,12,25,25,62,12,0,0,37,25,25,0,12,37,12,0,12,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프라임에셋(주),25,62,12,0,0,50,12,0,25,12,87,0,12,0,0,12,25,62,0,0,25,50,0,0,25,37,0,0,37,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
디비씨에이에스손해사정(주),0,50,50,0,0,0,0,0,0,100,0,0,50,0,50,100,0,0,0,0,0,50,0,50,0,0,50,0,0,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신한저축은행(주),0,33,33,25,8,8,0,25,33,33,75,16,8,0,0,66,33,0,0,0,0,41,8,25,25,0,16,0,25,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오릭스캐피탈코리아(주),0,60,30,10,0,40,20,30,10,0,60,20,0,20,0,0,40,60,0,0,10,60,20,0,10,0,10,0,20,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미래에셋자산운용(주),0,36,36,9,18,27,9,0,54,9,70,20,0,10,0,18,63,18,0,0,9,18,27,9,36,0,18,0,27,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대차증권(주),14,28,28,0,28,57,14,14,14,0,85,0,0,14,0,57,42,0,0,0,42,28,0,0,28,14,42,0,14,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에이아이지손해보험(주),0,85,14,0,0,0,42,57,0,0,85,0,14,0,0,57,0,42,0,0,14,42,28,14,0,0,28,0,57,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메르세데스벤츠파이낸셜서비스코리아(주),0,8,50,25,16,0,0,33,8,58,75,0,0,25,0,25,16,58,0,0,0,33,16,33,16,8,33,8,25,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유화증권(주),16,33,16,33,0,75,16,0,8,0,83,8,8,0,0,33,50,16,0,0,18,18,27,18,18,0,0,8,0,91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대라이프생명보험(주),0,100,0,0,0,0,0,0,100,0,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스케이증권(주),10,40,10,40,0,50,30,10,0,10,90,0,0,10,0,50,20,20,10,0,30,20,10,30,10,30,0,10,10,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국예탁결제원,30,10,30,30,0,20,10,10,50,10,50,10,20,10,10,10,60,30,0,0,20,40,40,0,0,10,40,20,10,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하나손해보험(주),0,33,55,11,0,22,22,22,11,22,77,22,0,0,0,33,44,22,0,0,0,11,44,22,22,0,22,11,11,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농협손해보험(주),7,28,50,14,0,14,35,21,21,7,64,7,21,7,0,28,35,35,0,0,0,42,28,14,14,0,14,14,21,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
애큐온캐피탈(주),0,25,75,0,0,16,16,8,33,25,83,0,0,8,8,16,41,41,0,0,8,41,25,8,16,0,8,8,16,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브이피(주),9,45,36,0,9,0,33,25,33,8,50,33,16,0,0,16,25,58,0,0,0,41,25,16,16,0,0,8,41,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새마을금고중앙회,12,62,25,0,0,12,37,37,12,0,62,0,25,12,0,12,87,0,0,0,0,50,12,12,25,0,12,0,25,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이베스트투자증권(주),11,44,11,33,0,11,33,22,22,11,55,33,0,11,0,44,33,22,0,0,0,11,33,22,33,0,11,0,11,77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)페퍼저축은행,0,21,21,50,7,7,14,14,28,35,85,7,0,0,7,0,50,42,7,0,7,14,35,14,28,0,28,7,21,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
건설근로자공제회,9,54,18,9,9,27,18,9,18,27,72,9,0,18,0,27,36,18,18,0,0,45,18,27,9,9,18,9,9,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
